task,baseline,CSC,ran,secs,AME,FIVR,CSAT,DET,seed,input_type,reason
ecommerce_integrity,sdv_ctgan,0,False,,,,,,50,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_hma,0,False,,,,,,50,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,misata,1,True,0.021,,0.0,,,51,nl,
ecommerce_integrity,faker,1,True,0.001,,0.0,,,51,schema,
ecommerce_integrity,naive_rescale,1,True,0.001,,0.0,,,51,schema,
ecommerce_integrity,sdv_gaussian_copula,0,False,,,,,,51,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_ctgan,0,False,,,,,,51,,SDV requires source data; task is cold-start (CSC=0)
ecommerce_integrity,sdv_hma,0,False,,,,,,51,,SDV requires source data; task is cold-start (CSC=0)
revenue_reference_mode,misata,1,True,0.036,0.0,0.0,,1.0,42,nl,
revenue_reference_mode,faker,1,True,0.002,0.8933041073991005,0.0,,1.0,42,schema,
revenue_reference_mode,naive_rescale,1,True,0.029,1.4551915228366853e-16,0.0,,1.0,42,schema,
revenue_reference_mode,sdv_gaussian_copula,0,True,0.783,0.21326085526194002,0.0,,1.0,42,data,
revenue_reference_mode,sdv_ctgan,0,True,52.114,0.9981887903106681,0.0,,1.0,42,data,
revenue_reference_mode,sdv_hma,0,True,1.545,0.21326085526194002,0.0,,1.0,42,data,
revenue_reference_mode,misata,1,True,0.038,0.0,0.0,,,43,nl,
revenue_reference_mode,faker,1,True,0.002,0.8932872923525786,0.0,,,43,schema,
revenue_reference_mode,naive_rescale,1,True,0.029,0.0,0.0,,,43,schema,
revenue_reference_mode,sdv_gaussian_copula,0,True,0.78,0.21326085526194002,0.0,,,43,data,
revenue_reference_mode,sdv_ctgan,0,True,48.855,0.5545622257527799,0.0,,,43,data,
revenue_reference_mode,sdv_hma,0,True,1.498,0.21326085526194002,0.0,,,43,data,
revenue_reference_mode,misata,1,True,0.041,0.0,0.0,,,44,nl,
revenue_reference_mode,faker,1,True,0.002,0.9019286212523887,0.0,,,44,schema,
revenue_reference_mode,naive_rescale,1,True,0.029,0.0,0.0,,,44,schema,
revenue_reference_mode,sdv_gaussian_copula,0,True,0.779,0.21326085526194002,0.0,,,44,data,
revenue_reference_mode,sdv_ctgan,0,True,50.469,0.1724627098531228,0.0,,,44,data,
revenue_reference_mode,sdv_hma,0,True,1.499,0.21326085526194002,0.0,,,44,data,
revenue_reference_mode,misata,1,True,0.038,0.0,0.0,,,45,nl,
revenue_reference_mode,faker,1,True,0.002,0.8901529930332471,0.0,,,45,schema,
revenue_reference_mode,naive_rescale,1,True,0.029,1.4551915228366853e-16,0.0,,,45,schema,
revenue_reference_mode,sdv_gaussian_copula,0,True,0.779,0.21326085526194002,0.0,,,45,data,
revenue_reference_mode,sdv_ctgan,0,True,48.464,0.08893845702401668,0.0,,,45,data,
revenue_reference_mode,sdv_hma,0,True,1.493,0.21326085526194002,0.0,,,45,data,
revenue_reference_mode,misata,1,True,0.039,0.0,0.0,,,46,nl,
revenue_reference_mode,faker,1,True,0.002,0.8992135623121437,0.0,,,46,schema,
